# Bundle: UF_LT
# type  name  label
incs1  MTG4_MSBP_LT  222
incs1  ITG1_MSBP_LT  215
incs1  TempP_GM_FS_LT  1033
incs1  EntoR_MSBP_LT  213

incs2  IFG_PTr_GM_FS_LT  1020
incs2  IFG_POr_GM_FS_LT  1019
incs2  FrontP_GM_FS_LT  1032
incs2  LatOF_GM_FS_LT  1012

excs  CC_allr_custom  1
excs  BStem_FS  16
excs  Acc_FS_LT  26
excs  Thal_FS_LT  10
excs  Caud_FS_LT  11
excs  Amyg_FS_LT  18
excs  Hippo_FS_LT  17
# Unseg_WM_FS_LT (5001) removed: wmparc 5001 is ALL left deep WM, including the
# temporal stem the UF trunk must cross. See KUL_FWT_dev_work/ audit, section 5.2.
excs  Pari_lobeGM_LT  1006
excs  Pari_lobeWM_LT  3006
excs  Occ_lobeGM_LT  1004
excs  Occ_lobeWM_LT  3004
excs  rACC_GM_FS_LT  1026
excs  rACC_WM_FS_LT  3026
excs  IFG_POp_GM_LT_FS  1018
excs  IFG_POp_WM_LT_FS  3018
excs  M1_GM_FS_LT  1024
excs  M1_WM_FS_LT  3024
excs  Ins1_MSBP_LT  230
excs  Ins2_MSBP_LT  231
excs  Ins3_MSBP_LT  232
excs  UF_Ins_exc_LT_custom  1
excs  MedOF_GM_FS_LT  1014
